OFFICIAL_NAME,COUNTY_NAME,OFFICIAL_SIZE_VALUE,OFFICIAL_MAX_DEPTH_VALUE,PLSS,WBIC
Ace-In-The-Hole Lake,Chippewa,7.09,48,T32N R8W S30 NW SE,1831600
Ada Lake,Langlade,74.69,60,T33N R14E S3 NW SW,417300
Adams Lake,Portage,30.25,44,T23N R9E S26 SW SE,267800
Adeline Lake,Bayfield,2.6,25,T44N R6W S7 SW SE,2753800
Afterglow Lake,Vilas,31.72,40,T42N R11E S26 SE SE,1624100
Ahmeek Lake,Bayfield,53.15,24,T47N R9W S26 SW NW,2753900
Alabama Lake,Polk,131.82,28,T36N R18W S17 NW SW,2449200
Alder Lake,Vilas,264.29,30,T42N R5E S25 NW SE,2329600
Alderley Millpond,Dodge,15.91,10,T9N R17E S26 NE SW,854900
Alexander Lake,Douglas,50.11,10,T43N R11W S12 SE NW,2449300
Allequash Lake,Vilas,405.52,24,T41N R7E S17 SE SW,2332400
Alma Lake,Vilas,57.73,18,T40N R8E S36 NE NE,967900
Alpine Lake,Waushara,50.5,18,T18N R11E S4 SE NE,245650
Altoona Lake,Eau Claire,719.86,25,T27N R9W S14 SW NW,2128100
Alva Lake,Oneida,199.1,43,T37N R7E S10 SE NE,968100
Amacoy Lake,Rusk,282.52,20,T34N R8W S25 NE NW,2359700
Ament Lake,Lincoln,11.83,25,T34N R8E S20 NE SE,968200
Amey Pond,Adams,72.36,9,T14N R7E S36 NW SE,176000
Amherst Millpond,Portage,37.52,7,T23N R10E S22 SW NW,268200
Amik Lake,Vilas,140.81,8,T40N R3E S24 SE SE,2268600
Amnicon Lake,Douglas,390.22,31,T46N R14W S14 SE NE,2858100
Amy Bell Lake,Washington,30.09,37,T9N R19E S25 NW NE,774000
Anderson Lake,Oconto,177.29,40,T31N R17E S31 SE SE,458700
Anderson Lake,Taylor,44.56,25,T32N R2W S35 SW SE,2165700
Anderson Lake,Barron,15.48,17,T36N R13W S13 SW NW,1832100
Anderson Lake,Douglas,4.77,23,T46N R11W S13 SW NW,2754300
Angelo Pond,Monroe,39.47,8,T17N R3W S7 NE NE,1660400
Angus Lake,Bayfield,31.21,13,T47N R8W S10 NW SE,2754400
Aninnan Lake,Langlade,38.9,22,T34N R11E S24 SW NW,181300
Ann Lake,Burnett,28.48,6,T40N R15W S31 SE NW,2676400
Annabelle Lake,Vilas,194.47,30,T43N R6E S12 SE NW,2953800
Anne Lake,Vilas,34.27,77,T43N R6E S30 SE NE,1832200
Anodanta Lake,Bayfield,25.89,31,T45N R7W S15 NE SW,2898200
Antler Lake,Polk,94.03,22,T35N R17W S12 NW NW,2449400
Anvil Lake,Vilas,376.96,32,T40N R11E S13 SW NW,968800
Apeekwa Lake,Vilas,205.77,5,T40N R4E S7 NW SE,2269400
Apple Falls Flowage,Saint Croix,62.01,40.3,T31N R19W S22 SW NW,2614200
Apple Lake,Douglas,6.07,11,T43N R12W S8 SW SW,2449500
Apple River Flowage,Polk,604.49,18,T33N R16W S33 NW NE,2624200
Arbutus Lake,Forest,163.18,28,T34N R13E S27 NW SW,181400
Arbutus Lake*,Clark,773.78,50,T22N R3W S3 SE SE,1727700
Arbutus Lake*,Jackson,773.78,50,T22N R3W S3 SE SE,1727700
Archibald Lake,Oconto,392.1,50,T32N R15E S2 SW NE,417400
Archibald Tower Springs,Oconto,6.72,10,T32N R15E S14 NE SW,490900
Arkdale Lake,Adams,40.52,10.5,T18N R5E S15 SE NW,1374300
Armour Lake,Vilas,327.81,56,T43N R6E S2 SW SW,2953200
Armstrong Lake,Bayfield,44.03,35,T45N R7W S19 NE NE,2754600
Army Lake,Walworth,80.47,17,T4N R18E S16 NW SE,740200
Arrowhead Lake,Bayfield,43.25,40,T45N R7W S16 SE NE,2898500
Arrowhead Lake,Vilas,96.36,43,T40N R6E S35 SE NE,1541500
Ashegon Lake,Sawyer,75.19,56,T39N R8W S24 SW SW,2448800
Ashippun Lake,Waukesha,94.23,35,T8N R17E S15 NW NW,854300
Atkins Lake,Forest,150.14,3,T37N R12E S31 NW NW,1578400
Atkins Lake,Oneida,150.14,3,T37N R12E S31 NW NW,1578400
Atkins Lake,Bayfield,169.56,80,T44N R5W S19 SE SW,2734000
Auburn Lake,Fond du Lac,89.97,29,T13N R19E S15 NW SE,42400
Audie Lake,Rusk,109.68,32,T36N R9W S36 SE SW,2368700
Augustine Lake,Ashland,171.12,10,T43N R1W S26 SW NE,2410400
Auroraville Millpond,Waushara,180.12,6,T18N R13E S7 NE NE,244800
Austin Lake,Burnett,83.07,48,T39N R15W S7 NE NW,2675700
Axhandle Lake,Chippewa,86.1,72.5,T32N R9W S4 SE SW,2092500
Bad River Slough,Ashland,173.18,24,T48N R2W S17 SW NE,2892100
Bagley Flowage 1061,Marinette,244.87,20,T31N R22E S33 NE SE,516800
Bailey Lake,Forest,84.44,10,T39N R12E S30 SE NE,969300
Bailey Lake,Waupaca,15.95,30,T21N R12E S19 NW SE,254900
Baker Lake,Washburn,100.23,21,T38N R11W S10 NE NE,2449800
Baker Lake,Shawano,32.27,12,T29N R12E S19 SE SW,181500
Ballard Lake,Vilas,502.58,25,T41N R8E S5 NE SE,2340700
Balsam Lake,Washburn,325.38,49,T37N R10W S34 SE NE,2112800
Balsam Lake,Polk,1901.46,37,T34N R17W S10 NE NE,2620600
Balsam Lake,Washburn,325.38,49,T37N R10W S34 SE NE,2112800
Balsam Lake,Vilas,14.03,25,T42N R8E S12 NW SW,1832500
Barber Lake,Sawyer,137.88,21,T39N R5W S10 NE NW,2382300
Barbo Lake,Polk,43.51,4,T33N R15W S27 SW NE,2624900
Bark Bay Slough,Bayfield,66.82,7,T50N R7W S1 NW NE,2881200
Bark Lake,Washington,64.94,34,T9N R19E S26 NW NE,828600
Barker Lake,Sawyer,212.94,12,T40N R5W S31 NE SW,2400000
Barnes Lake,Oconto,58.01,20,T32N R15E S16 NE NW,417600
Barr Lake,Chippewa,2.38,23,T31N R8W S13 NW NW,2179400
Barron Flowage No. 1,Barron,52.47,12,T34N R12W S27 SE NW,2096700
Barron Flowage No. 3,Barron,61.77,10,T34N R12W S28 NW NE,2097100
Barton Pond,Washington,63.03,5,T11N R19E S11 SE SE,35400
Bashaw Lake,Burnett,169.83,16,T38N R14W S19 NE NW,2662400
Bass Bay Lake,Waukesha,104.2,23,T5N R20E S15 SE NW,763200
Bass Lake,Burnett,71.05,12,T41N R16W S13 NE SE,2451600
Bass Lake,Ashland,25.93,12,T45N R3W S19 SE NW,2755100
Bass Lake,Polk,79.03,26,T36N R19W S23 SE NE,2452000
Bass Lake,Oneida,60.29,21,T36N R5E S18 NE SW,969700
Bass Lake,Washburn,187.35,35,T40N R10W S17 SE NW,2451900
Bass Lake,Waupaca,18.68,35,T21N R11E S13 SE SE,255300
Bass Lake,Dane,72.49,10,T5N R10E S24 SW NE,800400
Bass Lake,Bayfield,63.27,32,T44N R7W S13 SW NE,2754900
Bass Lake,Chippewa,6.78,40,T32N R7W S30 SE SW,2347900
Bass Lake,Price,20.25,33,T34N R2E S11 NE SW,2202600
Bass Lake,Oconto,144.99,40,T32N R15E S9 NE NE,417900
Bass Lake,Burnett,222.43,6,T40N R17W S23 NE NE,2675000
Bass Lake,Bayfield,35.1,15,T47N R8W S33 NW SE,2755200
Bass Lake,Bayfield,69.37,31,T44N R6W S24 SE NE,2733600
Bass Lake,Washburn,132.47,31,T40N R13W S29 SE SE,2451300
Bass Lake,Washburn,101.43,66,T37N R10W S7 NE SW,1833300
Bass Lake,Rusk,27.52,18,T35N R7W S12 SE SW,1833000
Bass Lake,Douglas,125.14,26,T43N R12W S10 SW SE,2451700
Bass Lake,Burnett,191.92,24,T39N R16W S23 NE NE,2451200
Bass Lake,Price,84.45,46,T40N R2W S15 NW SE,2279800
Bass Lake,Saint Croix,369.98,33,T30N R19W S23 SE NW,2450500
Bass Lake,Price,56.93,41,T39N R2W S31 SE NE,2282200
Bass Lake,Price,93.15,45,T38N R2W S18 SE NW,2234900
Bass Lake,Chippewa,40,25,T32N R9W S15 NW NE,1832700
Bass Lake,Lincoln,33.48,16,T35N R7E S34 SW SW,1561600
Bass Lake,Lincoln,105.76,40,T34N R8E S16 SE NE,969600
Bass Lake,Florence,50.6,42,T38N R17E S13 SW NW,652500
Bass Lake,Marinette,40.34,65,T31N R20E S29 NW SW,521400
Bass Lake,Forest,52.32,25,T34N R14E S2 SE SE,417800
Bass Lake,Barron,118.04,14,T33N R10W S34 SW SW,1832800
Bass Lake,Rusk,82.72,27,T34N R9W S16 SW NW,2090900
Bass Lake,Polk,111.39,19,T36N R15W S31 NW NW,2450800
Bass Lake,Douglas,51.38,9,T45N R11W S32 NE SE,2744500
Bass Lake,Burnett,82,18,T38N R15W S9 SW NW,2450900
Bass Lake,Waupaca,3,8,T21N R11E S4 NW NW,264200
Bass Lake,Florence,104.13,68,T39N R19E S4 NW NW,702700
Bass Lake,Bayfield,80.51,43,T46N R7W S28 NW NW,2901100
Bass Lake,Portage,27.84,19,T21N R9E S32 NE SE,970100
Bass Lake,Barron,20.29,39,T36N R10W S2 NW SE,1833100
Bass Lake ,Chippewa,4.09,27,T32N R7W S30 SE SE,2348000
Bass Lake T37n R09e S30,Oneida,183.69,20,T37N R9E S31 NW NW,1580300
Bass Lakes,Chippewa,7.54,18,T32N R8W S36 SW SE,2347100
Bass Lakes,Chippewa,2.57,26,T31N R8W S1 NW NE,2347200
Bass Lakes,Chippewa,11.71,27,T31N R8W S2 NE SE,1833500
Bass Lakes,Chippewa,8.02,31,T31N R8W S1 NW SW,2347400
Bass Lakes,Chippewa,14.45,39,T31N R8W S2 NE SE,1833600
Bass Lakes,Menominee,114.38,51,T30N R13E S1 SW NW,352200
Basswood Lake,Bayfield,108.92,15,T46N R8W S13 NW NE,2904900
Bean Lake,Washburn,100.09,35,T40N R10W S22 NE NW,2718500
Beans Lake,Waushara,20.97,12,T19N R10E S10 NE NE,101300
Bear Lake,Waupaca,199.52,62,T23N R13E S32 SE NE,279700
Bear Lake,Oconto,74.84,20,T33N R16E S21 SE SW,471200
Bear Lake,Forest,66.33,20,T35N R16E S17 SW SW,552100
Bear Lake,Barron,1347.73,87,T36N R11W S18 NE NW,2105100
Bear Lake,Price,8.13,5,T39N R2E S8 SE NW,1833900
Bear Lake,Douglas,48.64,10,T45N R14W S10 NE SE,2857700
Bear Lake,Ashland,184.13,9,T41N R4W S36 NW NE,2403200
Bear Lake,Oneida,295.2,20,T38N R5E S24 SW SW,1527800
Bear Lake,Vilas,75.8,33,T43N R6E S25 SE SW,2335400
Bear Lake,Bayfield,27.9,15,T46N R8W S1 SE SE,2901800
Bear Lake,Portage,29.45,28,T23N R9E S27 SE SW,181900
Bear Lake,Washburn,1347.73,87,T36N R11W S18 NE NW,2105100
Bear Paw Lake,Oconto,47.45,20,T31N R17E S8 NE SE,418000
Bear Trap Lake,Polk,247.45,25,T33N R17W S25 SE NW,2618100
